contract_type;symbol;date_time;strike;last_price;bid;ask;change;% Change;colume;open_interest;implied_volatility
C;TSLA200320C01340000;2020-03-10 3:47PM EDT;1,340.00;0.21;0.30;5.30;0.00;-;18;387;220.14%
C;TSLA200320C01360000;2020-03-10 2:12PM EDT;1,360.00;0.21;0.25;5.25;0.00;-;7;0;223.02%
C;TSLA200320C01380000;2020-03-09 1:49PM EDT;1,380.00;0.15;0.25;5.25;0.00;-;20;0;226.47%
C;TSLA200320C01400000;2020-03-10 2:34PM EDT;1,400.00;0.09;0.28;4.00;0.00;-;17;0;221.36%
C;TSLA200320C01420000;2020-03-09 3:33PM EDT;1,420.00;0.10;0.25;5.25;0.00;-;2;0;233.18%
C;TSLA200320C01440000;2020-03-10 3:25PM EDT;1,440.00;0.11;0.20;5.20;0.00;-;2;0;235.79%
C;TSLA200320C01460000;2020-03-10 9:45AM EDT;1,460.00;0.33;0.20;5.20;0.00;-;1;0;238.99%
C;TSLA200320C01480000;2020-03-10 3:51PM EDT;1,480.00;0.06;0.20;5.20;0.00;-;5;0;242.14%
C;TSLA200320C01500000;2020-03-10 3:51PM EDT;1,500.00;0.08;0.02;0.30;0.00;-;204;0;176.37%
C;TSLA200320C01520000;2020-03-10 9:50AM EDT;1,520.00;0.07;0.14;0.50;0.00;-;6;0;191.11%
C;TSLA200320C01530000;2020-03-09 9:52AM EDT;1,530.00;0.70;0.20;5.20;0.00;-;2;0;249.78%
C;TSLA200320C01540000;2020-03-05 4:49PM EDT;1,540.00;0.09;0.05;5.00;0.00;-;1;0;248.78%
C;TSLA200320C01550000;2020-03-06 3:39PM EDT;1,550.00;0.06;0.15;5.15;0.00;-;10;0;252.05%
C;TSLA200320C01560000;2020-03-06 1:04PM EDT;1,560.00;0.10;0.05;5.00;0.00;-;2;0;251.71%
C;TSLA200320C01570000;2020-03-09 12:08PM EDT;1,570.00;0.26;0.02;5.00;0.00;-;3;0;252.95%
C;TSLA200320C01580000;2020-03-06 1:00PM EDT;1,580.00;0.29;0.05;5.00;0.00;-;2;0;254.61%
C;TSLA200320C01590000;2020-03-10 11:57AM EDT;1,590.00;0.09;0.15;5.15;0.00;-;2;0;257.84%
C;TSLA200320C01600000;2020-03-10 3:58PM EDT;1,600.00;0.21;0.01;0.70;0.00;-;22;0;203.03%
C;TSLA200320C01610000;2020-02-27 12:49PM EDT;1,610.00;0.60;0.15;5.15;0.00;-;1;0;260.67%
C;TSLA200320C01620000;2020-03-09 3:51PM EDT;1,620.00;0.13;0.15;5.15;0.00;-;11;0;262.06%
C;TSLA200320C01630000;2020-03-05 1:28PM EDT;1,630.00;0.20;0.15;5.15;0.00;-;1;0;263.45%
C;TSLA200320C01640000;2020-03-05 11:10AM EDT;1,640.00;0.19;0.15;5.15;0.00;-;3;0;264.84%
C;TSLA200320C01650000;2020-03-03 1:32PM EDT;1,650.00;0.69;0.15;0.75;0.00;-;12;0;214.06%
C;TSLA200320C01660000;2020-03-09 10:29AM EDT;1,660.00;0.50;0.15;5.15;0.00;-;1;0;267.55%
C;TSLA200320C01670000;2020-02-24 12:49PM EDT;1,670.00;0.60;0.15;5.15;0.00;-;1;0;268.90%
C;TSLA200320C01680000;2020-03-06 1:39PM EDT;1,680.00;0.63;0.15;5.15;0.00;-;1;0;270.24%
C;TSLA200320C01690000;2020-02-26 10:59AM EDT;1,690.00;0.22;0.15;5.15;0.00;-;1;0;271.58%
C;TSLA200320C01700000;2020-03-09 10:35AM EDT;1,700.00;0.07;0.10;5.10;0.00;-;42;216;272.14%
C;TSLA200320C01710000;2020-03-09 9:31AM EDT;1,710.00;0.79;0.79;5.10;0.00;-;1;59;278.42%
C;TSLA200320C01720000;2020-03-10 11:05AM EDT;1,720.00;0.07;0.10;5.10;0.00;-;5;42;274.76%
C;TSLA200320C01730000;2020-03-06 1:11PM EDT;1,730.00;0.08;0.10;5.10;0.00;-;5;52;276.05%
C;TSLA200320C01740000;2020-03-03 2:07PM EDT;1,740.00;0.36;0.10;5.10;0.00;-;2;0;277.32%
C;TSLA200320C01750000;2020-03-10 3:22PM EDT;1,750.00;0.05;0.10;5.10;0.00;-;30;75;278.59%
C;TSLA200320C01760000;2020-03-09 3:09PM EDT;1,760.00;0.08;0.20;5.20;0.00;-;4;97;281.35%
C;TSLA200320C01770000;2020-03-10 10:24AM EDT;1,770.00;0.01;0.10;5.10;0.00;-;5;52;281.10%
C;TSLA200320C01780000;2020-03-06 4:49PM EDT;1,780.00;0.35;0.10;5.10;0.00;-;10;142;282.35%
C;TSLA200320C01790000;2020-02-26 3:20PM EDT;1,790.00;0.47;0.10;5.10;0.00;-;1;23;283.59%
C;TSLA200320C01800000;2020-03-10 12:43PM EDT;1,800.00;0.05;0.08;8.85;0.00;-;30;283;308.69%
C;TSLA200320C01810000;2020-03-03 3:35PM EDT;1,810.00;0.34;0.10;5.10;0.00;-;1;94;286.04%
C;TSLA200320C01820000;2020-03-10 10:01AM EDT;1,820.00;0.05;0.15;5.15;0.00;-;1;49;288.01%
C;TSLA200320C01830000;2020-03-10 10:35AM EDT;1,830.00;0.05;0.10;5.10;0.00;-;10;610;288.45%
C;TSLA200320C01840000;2020-03-10 12:58PM EDT;1,840.00;0.03;0.00;8.85;0.00;-;2;252;313.33%
C;TSLA200320C01850000;2020-03-10 3:23PM EDT;1,850.00;0.03;0.10;5.10;0.00;-;2;479;290.82%
C;TSLA200320C01860000;2020-03-10 12:44PM EDT;1,860.00;0.05;0.05;5.05;0.00;-;4;310;291.24%
C;TSLA200320C01870000;2020-03-10 10:09AM EDT;1,870.00;0.03;0.05;0.33;0.00;-;21;349;219.14%
C;TSLA200320C01880000;2020-03-10 3:48PM EDT;1,880.00;0.02;0.13;0.15;0.00;-;1,311;7,184;214.26%
P;TSLA200320P00010000;2020-03-09 1:22PM EDT;10.00;0.01;0.00;5.00;0.00;-;164;0;1,552.15%
P;TSLA200320P00015000;2020-03-03 1:21PM EDT;15.00;0.01;0.00;5.00;0.00;-;1;0;1,333.40%
P;TSLA200320P00020000;2020-03-09 2:59PM EDT;20.00;0.01;0.00;0.02;0.00;-;399;0;625.00%
P;TSLA200320P00025000;2020-03-09 11:33AM EDT;25.00;0.01;0.00;8.55;0.00;-;3;0;1,238.67%
P;TSLA200320P00030000;2020-03-02 1:09PM EDT;30.00;0.09;0.00;5.00;0.00;-;37;0;1,024.22%
P;TSLA200320P00035000;2020-03-09 3:58PM EDT;35.00;0.05;0.00;0.35;0.00;-;7;0;661.72%
P;TSLA200320P00040000;2020-03-10 11:37AM EDT;40.00;0.02;0.00;0.01;0.00;-;63;0;475.00%
P;TSLA200320P00045000;2020-03-10 3:06PM EDT;45.00;0.01;0.00;5.00;0.00;-;1;0;867.77%
P;TSLA200320P00050000;2020-03-10 2:21PM EDT;50.00;0.02;0.01;0.07;0.00;-;173;0;501.56%
P;TSLA200320P00055000;2020-03-09 10:38AM EDT;55.00;0.03;0.00;5.00;0.00;-;7;0;795.02%
P;TSLA200320P00060000;2020-03-09 10:27AM EDT;60.00;0.10;0.00;0.25;0.00;-;17;0;515.63%
P;TSLA200320P00065000;2020-03-09 2:36PM EDT;65.00;0.02;0.00;5.00;0.00;-;2;0;736.52%
P;TSLA200320P00070000;2020-03-09 3:14PM EDT;70.00;0.03;0.01;5.00;0.00;-;43;0;711.33%
P;TSLA200320P00075000;2020-03-10 2:36PM EDT;75.00;0.03;0.00;0.04;0.00;-;1;0;396.88%
P;TSLA200320P00080000;2020-03-09 12:06PM EDT;80.00;0.15;0.03;0.51;0.00;-;41;0;489.45%
P;TSLA200320P00085000;2020-03-09 10:57AM EDT;85.00;0.07;0.03;8.70;0.00;-;90;0;716.89%
P;TSLA200320P00090000;2020-03-10 2:30PM EDT;90.00;0.09;0.00;5.00;0.00;-;1;0;626.86%
P;TSLA200320P00095000;2020-03-10 3:58PM EDT;95.00;0.04;0.00;5.00;0.00;-;11;0;609.18%
P;TSLA200320P00100000;2020-03-10 3:55PM EDT;100.00;0.05;0.04;0.05;0.00;-;250;0;367.19%
P;TSLA200320P00105000;2020-03-10 3:01PM EDT;105.00;0.07;0.04;5.00;0.00;-;61;0;577.44%
P;TSLA200320P00110000;2020-03-10 2:30PM EDT;110.00;0.10;0.00;5.00;0.00;-;2;0;561.72%
P;TSLA200320P00115000;2020-03-10 3:09PM EDT;115.00;0.08;0.00;1.00;0.00;-;6;0;433.59%
P;TSLA200320P00120000;2020-03-10 1:26PM EDT;120.00;0.12;0.00;1.00;0.00;-;61;0;423.05%
P;TSLA200320P00125000;2020-03-09 3:53PM EDT;125.00;0.19;0.00;4.00;0.00;-;225;0;502.05%
P;TSLA200320P00130000;2020-03-10 3:54PM EDT;130.00;0.10;0.00;0.19;0.00;-;10;0;337.50%
P;TSLA200320P00135000;2020-03-10 1:44PM EDT;135.00;0.16;0.01;5.00;0.00;-;3;0;497.07%
P;TSLA200320P00140000;2020-03-09 2:28PM EDT;140.00;0.20;0.01;5.00;0.00;-;7;0;485.74%
P;TSLA200320P00145000;2020-03-10 10:19AM EDT;145.00;0.19;0.03;3.00;0.00;-;3;0;437.70%
P;TSLA200320P00150000;2020-03-10 3:06PM EDT;150.00;0.15;0.01;0.20;0.00;-;43;0;310.94%
P;TSLA200320P00155000;2020-03-10 12:20PM EDT;155.00;0.15;0.01;2.00;0.00;-;15;0;394.14%
P;TSLA200320P00160000;2020-03-03 12:45PM EDT;160.00;0.11;0.01;5.00;0.00;-;9;0;444.39%
P;TSLA200320P00165000;2020-03-10 9:31AM EDT;165.00;0.26;0.01;2.00;0.00;-;24;0;377.44%
P;TSLA200320P00170000;2020-03-10 3:07PM EDT;170.00;0.22;0.01;5.00;0.00;-;10;0;425.78%
P;TSLA200320P00175000;2020-03-06 1:09PM EDT;175.00;0.35;0.01;5.00;0.00;-;8;0;416.90%
P;TSLA200320P00180000;2020-03-10 11:37AM EDT;180.00;0.20;0.22;0.85;0.00;-;75;0;325.78%
P;TSLA200320P00185000;2020-03-10 12:13PM EDT;185.00;0.28;0.01;5.00;0.00;-;3;0;399.95%
P;TSLA200320P00190000;2020-03-10 10:04AM EDT;190.00;0.40;0.05;2.00;0.00;-;33;0;340.82%
P;TSLA200320P00195000;2020-03-09 11:39AM EDT;195.00;0.39;0.09;5.00;0.00;-;51;0;385.01%
P;TSLA200320P00200000;2020-03-10 3:58PM EDT;200.00;0.35;0.05;0.35;0.00;-;4;0;267.97%
P;TSLA200320P00205000;2020-03-10 3:11PM EDT;205.00;0.46;0.25;0.45;0.00;-;1;0;279.30%
P;TSLA200320P00210000;2020-03-10 3:19PM EDT;210.00;0.33;0.30;5.30;0.00;-;90;0;368.70%
P;TSLA200320P00215000;2020-03-10 10:24AM EDT;215.00;1.00;0.30;0.55;0.00;-;9;0;274.41%
P;TSLA200320P00220000;2020-03-10 3:51PM EDT;220.00;0.35;0.30;5.30;0.00;-;14;0;354.44%
P;TSLA200320P00225000;2020-03-10 3:52PM EDT;225.00;0.39;0.05;5.05;0.00;-;7;0;341.89%
P;TSLA200320P00230000;2020-03-10 10:37AM EDT;230.00;0.45;0.01;3.60;0.00;-;4;0;316.36%
P;TSLA200320P00235000;2020-03-10 3:08PM EDT;235.00;0.55;0.09;0.55;0.00;-;2;0;245.02%
P;TSLA200320P00240000;2020-03-10 11:54AM EDT;240.00;0.55;0.45;0.70;0.00;-;13;0;257.91%
P;TSLA200320P00245000;2020-03-10 1:48PM EDT;245.00;0.90;0.45;0.70;0.00;-;101;0;252.93%
P;TSLA200320P00250000;2020-03-10 3:57PM EDT;250.00;0.68;0.59;0.63;0.00;-;24;0;249.81%
P;TSLA200320P00255000;2020-03-09 3:53PM EDT;255.00;0.93;0.02;1.30;0.00;-;3;0;247.56%
P;TSLA200320P00260000;2020-03-10 11:02AM EDT;260.00;0.95;0.50;0.90;0.00;-;6;0;244.63%
P;TSLA200320P00265000;2020-03-10 2:55PM EDT;265.00;0.80;0.40;0.93;0.00;-;10;0;238.18%
P;TSLA200320P00270000;2020-03-10 3:44PM EDT;270.00;0.90;0.59;1.20;0.00;-;2;0;243.26%
P;TSLA200320P00275000;2020-03-10 11:31AM EDT;275.00;1.00;0.50;1.00;0.00;-;3;0;232.72%
P;TSLA200320P00280000;2020-03-10 2:45PM EDT;280.00;1.04;0.92;1.26;0.00;-;106;0;240.67%
P;TSLA200320P00285000;2020-03-10 3:51PM EDT;285.00;0.53;0.85;5.85;0.00;-;17;0;285.06%
P;TSLA200320P00290000;2020-03-10 2:52PM EDT;290.00;1.08;0.95;5.95;0.00;-;1;0;281.23%
P;TSLA200320P00295000;2020-03-10 2:46PM EDT;295.00;1.00;0.95;1.34;0.00;-;25;0;228.52%
P;TSLA200320P00300000;2020-03-10 3:58PM EDT;300.00;1.09;1.01;1.11;0.00;-;1;0;221.48%
P;TSLA200320P00305000;2020-03-10 2:55PM EDT;305.00;1.25;1.05;1.45;0.00;-;16;0;222.61%
P;TSLA200320P00310000;2020-03-10 3:49PM EDT;310.00;1.37;1.05;9.30;0.00;-;46;0;282.96%
P;TSLA200320P00315000;2020-03-09 3:40PM EDT;315.00;1.60;0.81;1.50;0.00;-;6;0;211.33%
P;TSLA200320P00320000;2020-03-10 3:42PM EDT;320.00;1.29;1.29;1.45;0.00;-;4;0;212.70%
P;TSLA200320P00325000;2020-03-10 2:52PM EDT;325.00;1.45;1.05;1.85;0.00;-;10;0;210.35%
P;TSLA200320P00330000;2020-03-10 3:48PM EDT;330.00;1.52;0.85;11.50;0.00;-;55;0;272.56%
P;TSLA200320P00335000;2020-03-10 3:35PM EDT;335.00;1.45;1.55;6.55;0.00;-;12;0;243.77%
P;TSLA200320P00340000;2020-03-10 3:57PM EDT;340.00;1.50;1.08;7.20;0.00;-;102;0;240.09%
P;TSLA200320P00345000;2020-03-10 3:21PM EDT;345.00;1.55;2.00;7.00;0.00;-;15;0;239.55%
P;TSLA200320P00350000;2020-03-10 3:55PM EDT;350.00;1.74;1.45;2.10;0.00;-;4;0;196.48%
P;TSLA200320P00355000;2020-03-10 3:23PM EDT;355.00;1.51;0.25;2.19;0.00;-;146;0;180.91%
P;TSLA200320P00360000;2020-03-10 1:47PM EDT;360.00;1.82;1.90;2.12;0.00;-;1;0;192.63%
P;TSLA200320P00365000;2020-03-10 1:21PM EDT;365.00;2.54;1.45;2.47;0.00;-;14;0;187.77%
P;TSLA200320P00370000;2020-03-10 3:51PM EDT;370.00;2.08;1.10;2.25;0.00;-;32;0;178.86%
P;TSLA200320P00375000;2020-03-10 12:56PM EDT;375.00;1.95;3.35;8.35;0.00;-;33;0;225.12%
P;TSLA200320P00380000;2020-03-10 2:04PM EDT;380.00;2.25;1.85;2.59;0.00;-;1;0;180.15%
P;TSLA200320P00385000;2020-03-10 3:59PM EDT;385.00;2.48;1.19;2.81;0.00;-;1;0;172.95%
P;TSLA200320P00390000;2020-03-10 3:49PM EDT;390.00;2.78;2.69;2.89;0.00;-;141;0;180.18%
P;TSLA200320P00395000;2020-03-10 3:39PM EDT;395.00;2.50;2.82;3.10;0.00;-;13;0;178.37%
P;TSLA200320P00400000;2020-03-10 3:59PM EDT;400.00;2.74;2.88;2.50;0.00;-;3;0;171.19%
P;TSLA200320P00405000;2020-03-10 3:44PM EDT;405.00;2.98;1.54;3.30;0.00;-;79;0;163.97%
P;TSLA200320P00410000;2020-03-10 3:58PM EDT;410.00;3.10;3.40;3.55;0.00;-;14;0;172.46%
P;TSLA200320P00415000;2020-03-10 3:26PM EDT;415.00;3.10;4.80;9.80;0.00;-;6;0;200.79%
P;TSLA200320P00420000;2020-03-10 3:58PM EDT;420.00;3.33;1.78;3.65;0.00;-;95;0;156.52%
P;TSLA200320P00425000;2020-03-10 3:59PM EDT;425.00;5.55;5.70;10.70;0.00;-;65;0;198.18%
P;TSLA200320P00430000;2020-03-10 3:47PM EDT;430.00;3.90;5.05;3.90;0.00;-;1;0;166.36%
P;TSLA200320P00435000;2020-03-10 3:43PM EDT;435.00;4.20;6.55;11.55;0.00;-;15;0;194.76%
P;TSLA200320P00440000;2020-03-10 3:52PM EDT;440.00;4.45;3.00;4.30;0.00;-;5;0;151.43%
P;TSLA200320P00445000;2020-03-10 3:29PM EDT;445.00;4.45;5.05;5.30;0.00;-;49;0;160.33%
P;TSLA200320P00450000;2020-03-10 3:51PM EDT;450.00;5.00;3.50;4.65;0.00;-;1;0;147.75%
P;TSLA200320P00455000;2020-03-10 3:56PM EDT;455.00;5.20;5.60;5.90;0.00;-;70;0;156.71%
P;TSLA200320P00460000;2020-03-10 3:42PM EDT;460.00;5.34;10.10;15.10;0.00;-;124;0;191.92%
P;TSLA200320P00465000;2020-03-10 3:58PM EDT;465.00;5.90;3.50;5.35;0.00;-;248;0;139.51%
P;TSLA200320P00470000;2020-03-10 3:58PM EDT;470.00;6.23;3.75;5.55;0.00;-;1;0;137.52%
P;TSLA200320P00475000;2020-03-10 3:40PM EDT;475.00;6.50;7.10;7.45;0.00;-;27;0;150.74%
P;TSLA200320P00480000;2020-03-10 3:47PM EDT;480.00;7.46;4.20;6.05;0.00;-;210;0;133.51%
P;TSLA200320P00485000;2020-03-10 3:18PM EDT;485.00;6.85;7.95;8.30;0.00;-;26;0;147.60%
P;TSLA200320P00490000;2020-03-10 3:41PM EDT;490.00;7.70;8.35;8.80;0.00;-;35;0;145.98%
P;TSLA200320P00495000;2020-03-10 3:46PM EDT;495.00;8.50;8.80;9.20;0.00;-;46;0;144.14%
P;TSLA200320P00500000;2020-03-10 3:59PM EDT;500.00;8.90;6.00;7.00;0.00;-;3;0;127.08%
P;TSLA200320P00505000;2020-03-10 3:58PM EDT;505.00;9.30;6.00;7.50;0.00;-;55;0;124.70%
P;TSLA200320P00510000;2020-03-10 3:54PM EDT;510.00;10.00;6.10;7.95;0.00;-;122;0;122.40%
P;TSLA200320P00515000;2020-03-10 3:56PM EDT;515.00;10.55;6.50;8.50;0.00;-;2;0;121.03%
P;TSLA200320P00520000;2020-03-10 3:59PM EDT;520.00;11.31;20.00;25.00;0.00;-;77;0;176.57%
P;TSLA200320P00525000;2020-03-10 3:58PM EDT;525.00;11.65;7.30;9.10;0.00;-;160;0;116.77%
P;TSLA200320P00530000;2020-03-10 3:58PM EDT;530.00;12.55;13.05;13.55;0.00;-;219;0;134.10%
P;TSLA200320P00535000;2020-03-10 3:40PM EDT;535.00;12.85;8.35;10.25;0.00;-;100;0;113.90%
P;TSLA200320P00540000;2020-03-10 3:53PM EDT;540.00;13.60;8.70;10.45;0.00;-;125;0;111.14%
P;TSLA200320P00545000;2020-03-10 3:40PM EDT;545.00;14.34;15.40;15.70;0.00;-;2;0;129.52%
P;TSLA200320P00550000;2020-03-10 3:59PM EDT;550.00;15.00;9.80;11.00;0.00;-;15;0;106.53%
P;TSLA200320P00555000;2020-03-10 3:01PM EDT;555.00;17.00;25.15;33.60;0.00;-;155;0;164.23%
P;TSLA200320P00560000;2020-03-10 3:54PM EDT;560.00;17.85;10.95;13.20;0.00;-;3;0;104.63%
P;TSLA200320P00565000;2020-03-10 2:55PM EDT;565.00;18.50;18.80;19.25;0.00;-;81;0;123.22%
P;TSLA200320P00570000;2020-03-10 3:59PM EDT;570.00;18.87;19.75;20.30;0.00;-;3;0;121.74%
P;TSLA200320P00575000;2020-03-10 3:59PM EDT;575.00;20.10;35.05;41.00;0.00;-;1;0;168.10%
P;TSLA200320P00580000;2020-03-10 3:58PM EDT;580.00;22.00;12.00;15.70;0.00;-;4;0;93.84%
P;TSLA200320P00585000;2020-03-10 3:55PM EDT;585.00;23.00;23.15;23.80;0.00;-;6;0;117.69%
P;TSLA200320P00590000;2020-03-10 3:58PM EDT;590.00;24.55;14.00;17.70;0.00;-;10;0;91.21%
P;TSLA200320P00595000;2020-03-10 3:59PM EDT;595.00;24.64;25.95;26.65;0.00;-;119;0;115.65%
P;TSLA200320P00600000;2020-03-10 3:59PM EDT;600.00;27.00;17.70;19.50;0.00;-;6;0;89.92%
P;TSLA200320P00605000;2020-03-10 3:54PM EDT;605.00;28.15;18.25;20.40;0.00;-;1;0;87.19%
P;TSLA200320P00610000;2020-03-10 3:58PM EDT;610.00;29.25;18.00;21.50;0.00;-;1;0;83.53%
P;TSLA200320P00615000;2020-03-10 3:58PM EDT;615.00;30.85;47.80;57.80;0.00;-;73;0;161.22%
P;TSLA200320P00620000;2020-03-10 3:59PM EDT;620.00;32.42;32.90;33.75;0.00;-;1;0;107.53%
P;TSLA200320P00625000;2020-03-10 3:59PM EDT;625.00;33.80;53.00;62.00;0.00;-;65;0;160.65%
P;TSLA200320P00630000;2020-03-10 3:49PM EDT;630.00;37.90;22.55;27.90;0.00;-;86;0;76.80%
P;TSLA200320P00635000;2020-03-10 3:49PM EDT;635.00;37.50;58.50;68.00;0.00;-;201;0;162.04%
P;TSLA200320P00640000;2020-03-10 3:57PM EDT;640.00;39.56;60.05;74.50;0.00;-;199;0;165.25%
P;TSLA200320P00645000;2020-03-10 3:59PM EDT;645.00;41.89;43.30;43.50;0.00;-;214;0;102.38%
P;TSLA200320P00650000;2020-03-10 3:58PM EDT;650.00;44.45;73.30;78.20;0.00;-;8;0;172.19%
P;TSLA200320P00655000;2020-03-10 3:56PM EDT;655.00;46.20;74.00;79.75;0.00;-;280;0;168.10%
P;TSLA200320P00660000;2020-03-10 3:57PM EDT;660.00;48.42;31.30;35.90;0.00;-;1;0;59.42%
P;TSLA200320P00665000;2020-03-10 3:58PM EDT;665.00;52.00;53.05;53.70;0.00;-;217;0;99.10%
P;TSLA200320P00670000;2020-03-10 3:52PM EDT;670.00;55.27;55.65;56.20;0.00;-;342;0;97.88%
P;TSLA200320P00675000;2020-03-10 3:52PM EDT;675.00;58.12;82.60;92.60;0.00;-;832;0;165.23%
P;TSLA200320P00680000;2020-03-10 3:54PM EDT;680.00;60.15;38.60;43.10;0.00;-;1;0;49.06%
P;TSLA200320P00685000;2020-03-10 3:12PM EDT;685.00;63.00;64.15;65.65;0.00;-;11;0;96.04%
P;TSLA200320P00690000;2020-03-10 3:50PM EDT;690.00;68.00;42.75;47.00;0.00;-;11;0;34.81%
P;TSLA200320P00695000;2020-03-10 3:59PM EDT;695.00;68.89;44.95;48.65;0.00;-;1;0;0.00%
P;TSLA200320P00700000;2020-03-10 3:57PM EDT;700.00;72.70;46.75;50.80;0.00;-;1;0;0.00%
P;TSLA200320P00705000;2020-03-10 2:47PM EDT;705.00;75.90;103.05;117.65;0.00;-;121;0;173.10%
P;TSLA200320P00710000;2020-03-10 3:53PM EDT;710.00;79.14;51.85;56.70;0.00;-;10;0;0.00%
P;TSLA200320P00715000;2020-03-10 3:32PM EDT;715.00;88.58;84.85;86.35;0.00;-;119;0;93.38%
P;TSLA200320P00720000;2020-03-10 3:53PM EDT;720.00;86.71;116.15;127.65;0.00;-;327;0;176.08%
P;TSLA200320P00725000;2020-03-10 3:53PM EDT;725.00;93.00;120.85;132.35;0.00;-;161;0;178.95%
P;TSLA200320P00730000;2020-03-10 3:45PM EDT;730.00;95.97;122.80;139.30;0.00;-;132;0;181.14%
P;TSLA200320P00735000;2020-03-10 3:57PM EDT;735.00;100.90;100.70;102.50;0.00;-;68;0;93.61%
P;TSLA200320P00740000;2020-03-10 3:40PM EDT;740.00;103.10;68.65;76.00;0.00;-;1;0;0.00%
P;TSLA200320P00745000;2020-03-10 3:40PM EDT;745.00;107.35;108.70;111.90;0.00;-;2;0;94.89%
P;TSLA200320P00750000;2020-03-10 3:53PM EDT;750.00;112.50;72.85;82.05;0.00;-;1;0;0.00%
P;TSLA200320P00755000;2020-03-10 1:34PM EDT;755.00;127.18;76.10;85.40;0.00;-;8;0;0.00%
P;TSLA200320P00760000;2020-03-10 3:55PM EDT;760.00;120.95;151.40;162.05;0.00;-;23;0;190.27%
P;TSLA200320P00765000;2020-03-10 3:19PM EDT;765.00;122.90;82.85;91.40;0.00;-;33;0;0.00%
P;TSLA200320P00770000;2020-03-10 3:19PM EDT;770.00;127.45;130.50;132.90;0.00;-;31;0;94.12%
P;TSLA200320P00775000;2020-03-10 3:55PM EDT;775.00;134.34;164.25;176.20;0.00;-;7;0;195.62%
P;TSLA200320P00780000;2020-03-10 3:49PM EDT;780.00;143.00;93.50;102.80;0.00;-;26;0;0.00%
P;TSLA200320P00785000;2020-03-10 12:42PM EDT;785.00;160.61;145.15;146.30;0.00;-;45;0;96.64%
P;TSLA200320P00790000;2020-03-10 3:55PM EDT;790.00;148.79;101.40;110.85;0.00;-;1;0;0.00%
P;TSLA200320P00795000;2020-03-10 10:14AM EDT;795.00;166.87;106.75;116.05;0.00;-;1;0;0.00%
P;TSLA200320P00800000;2020-03-10 3:55PM EDT;800.00;158.19;112.00;120.40;0.00;-;70;0;0.00%
P;TSLA200320P00805000;2020-03-10 10:29AM EDT;805.00;167.13;189.35;201.70;0.00;-;17;0;200.38%
P;TSLA200320P00810000;2020-03-10 3:17PM EDT;810.00;168.45;167.40;171.00;0.00;-;24;0;99.39%
P;TSLA200320P00815000;2020-03-06 4:45PM EDT;815.00;181.95;173.55;174.75;0.00;-;5;0;101.06%
P;TSLA200320P00820000;2020-03-10 3:17PM EDT;820.00;178.15;126.60;136.45;0.00;-;26;0;0.00%
P;TSLA200320P00825000;2020-03-09 3:46PM EDT;825.00;208.81;209.60;223.00;0.00;-;152;0;212.98%
P;TSLA200320P00830000;2020-03-10 10:08AM EDT;830.00;188.05;135.10;144.35;0.00;-;8;0;0.00%
P;TSLA200320P00835000;2020-03-10 10:08AM EDT;835.00;195.70;138.20;147.85;0.00;-;1;0;0.00%
P;TSLA200320P00840000;2020-03-10 10:31AM EDT;840.00;221.78;142.50;152.20;0.00;-;4;0;0.00%
P;TSLA200320P00845000;2020-03-09 1:13PM EDT;845.00;220.35;227.50;243.50;0.00;-;4;0;220.84%
P;TSLA200320P00850000;2020-03-10 3:46PM EDT;850.00;207.83;151.65;161.30;0.00;-;18;0;0.00%
P;TSLA200320P00855000;2020-03-06 4:12PM EDT;855.00;207.65;156.00;165.70;0.00;-;1;0;0.00%
P;TSLA200320P00860000;2020-03-10 9:50AM EDT;860.00;235.20;242.60;256.10;0.00;-;3;0;224.86%
P;TSLA200320P00865000;2020-03-10 12:49PM EDT;865.00;235.02;247.45;261.60;0.00;-;1;0;227.69%
P;TSLA200320P00870000;2020-03-10 12:49PM EDT;870.00;235.90;227.00;228.25;0.00;-;4;0;110.67%
P;TSLA200320P00875000;2020-03-09 3:14PM EDT;875.00;260.42;171.00;185.05;0.00;-;4;0;0.00%
P;TSLA200320P00880000;2020-03-10 10:27AM EDT;880.00;260.90;176.00;190.50;0.00;-;30;0;0.00%
P;TSLA200320P00885000;2020-03-03 2:45PM EDT;885.00;235.16;180.50;195.05;0.00;-;4;0;0.00%
P;TSLA200320P00890000;2020-03-10 10:12AM EDT;890.00;239.81;185.00;199.75;0.00;-;1;0;0.00%
P;TSLA200320P00895000;2020-03-10 12:11PM EDT;895.00;262.95;251.85;253.70;0.00;-;11;0;119.82%
P;TSLA200320P00900000;2020-03-10 3:48PM EDT;900.00;259.50;283.20;297.20;0.00;-;10;0;245.36%
P;TSLA200320P00905000;2020-03-10 12:11PM EDT;905.00;272.95;261.70;263.70;0.00;-;10;0;122.34%
P;TSLA200320P00910000;2020-03-10 10:32AM EDT;910.00;270.53;203.60;218.70;0.00;-;1;0;0.00%
P;TSLA200320P00915000;2020-03-10 2:31PM EDT;915.00;286.36;297.80;311.80;0.00;-;2;0;250.64%
P;TSLA200320P00920000;2020-03-10 2:31PM EDT;920.00;291.58;213.00;228.15;0.00;-;10;0;0.00%
P;TSLA200320P00925000;2020-03-09 1:56PM EDT;925.00;304.00;217.70;232.95;0.00;-;2;0;0.00%
